====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
T: 2670300, bestHPWL: 12235.5
T: 2633900, bestHPWL: 12233.5
T: 2611300, bestHPWL: 12233.5
T: 2587600, bestHPWL: 12233.5
T: 2570800, bestHPWL: 12233.5
T: 2563600, bestHPWL: 12233.5
T: 2538800, bestHPWL: 12233.5
T: 2469300, bestHPWL: 12233.5
T: 2457700, bestHPWL: 12233.5
T: 2401700, bestHPWL: 12233.5
T: 2376800, bestHPWL: 12233.5
T: 2359000, bestHPWL: 12233.5
T: 2353100, bestHPWL: 12233.5
T: 2330800, bestHPWL: 12233.5
T: 2328000, bestHPWL: 12233.5
T: 2288900, bestHPWL: 12233.5
T: 2262900, bestHPWL: 12233.5
T: 2226900, bestHPWL: 12233.5
T: 2161800, bestHPWL: 12233.5
T: 2133600, bestHPWL: 12228.5
T: 2106400, bestHPWL: 12228.5
T: 2085600, bestHPWL: 12228.5
T: 2061900, bestHPWL: 12228.5
T: 2058800, bestHPWL: 12228.5
T: 2014500, bestHPWL: 12228.5
T: 1975300, bestHPWL: 12228.5
T: 1932400, bestHPWL: 12228.5
T: 1921000, bestHPWL: 12228.5
T: 1902600, bestHPWL: 12228.5
T: 1889100, bestHPWL: 12227.5
T: 1865200, bestHPWL: 12227.5
T: 1855500, bestHPWL: 12227.5
T: 1847700, bestHPWL: 12227.5
T: 1844000, bestHPWL: 12227.5
T: 1840300, bestHPWL: 12227.5
T: 1826700, bestHPWL: 12227.5
T: 1776300, bestHPWL: 12227.5
T: 1759100, bestHPWL: 12227.5
T: 1754700, bestHPWL: 12227.5
T: 1750300, bestHPWL: 12227.5
T: 1709700, bestHPWL: 12227.5
T: 1677600, bestHPWL: 12204.5
T: 1673400, bestHPWL: 12204.5
T: 1667200, bestHPWL: 12204.5
T: 1656200, bestHPWL: 12204.5
T: 1639500, bestHPWL: 12204.5
T: 1635400, bestHPWL: 12204.5
T: 1631300, bestHPWL: 12204.5
T: 1618100, bestHPWL: 12204.5
T: 1610000, bestHPWL: 12199.5
T: 1583100, bestHPWL: 12197.5
T: 1573600, bestHPWL: 12197.5
T: 1564000, bestHPWL: 12197.5
T: 1524800, bestHPWL: 12197.5
T: 1519600, bestHPWL: 12197.5
T: 1515800, bestHPWL: 12183.5
T: 1512000, bestHPWL: 12183.5
T: 1483300, bestHPWL: 12183.5
T: 1465400, bestHPWL: 12183.5
T: 1426800, bestHPWL: 12183.5
T: 1418800, bestHPWL: 12179.5
T: 1411700, bestHPWL: 12179.5
T: 1402100, bestHPWL: 12179.5
T: 1362700, bestHPWL: 12179.5
T: 1358600, bestHPWL: 12179.5
T: 1355200, bestHPWL: 12179.5
T: 1351800, bestHPWL: 12179.5
T: 1338700, bestHPWL: 12179.5
T: 1332000, bestHPWL: 12179.5
T: 1326000, bestHPWL: 12179.5
T: 1307100, bestHPWL: 12179.5
T: 1281500, bestHPWL: 12179.5
T: 1278800, bestHPWL: 12179.5
T: 1275600, bestHPWL: 12179.5
T: 1272400, bestHPWL: 12179.5
T: 1227600, bestHPWL: 12173.5
T: 1217900, bestHPWL: 12173.5
T: 1211800, bestHPWL: 12173.5
T: 1201500, bestHPWL: 12173.5
T: 1161400, bestHPWL: 12173.5
T: 1159300, bestHPWL: 12173.5
T: 1156400, bestHPWL: 12173.5
T: 1153500, bestHPWL: 12173.5
T: 1150600, bestHPWL: 12173.5
T: 1125800, bestHPWL: 12167.5
T: 1119700, bestHPWL: 12167.5
T: 1116900, bestHPWL: 12167.5
T: 1114100, bestHPWL: 12153.5
T: 1111300, bestHPWL: 12153.5
T: 1080800, bestHPWL: 12146.5
T: 1078200, bestHPWL: 12146.5
T: 1075500, bestHPWL: 12146.5
T: 1072800, bestHPWL: 12146.5
T: 1070100, bestHPWL: 12146.5
T: 1064000, bestHPWL: 12146.5
T: 1055800, bestHPWL: 12146.5
T: 1050500, bestHPWL: 12146.5
T: 1048500, bestHPWL: 12146.5
T: 1046400, bestHPWL: 12146.5
